Longitude,Latitude,HAG
-74.00997434718639,40.88081215328802,247
-74.00973700225941,40.880810115121584,247
-74.00949965735673,40.880808076466835,247
-74.00926231247836,40.88080603732375,247
-74.00902496762431,40.88080399769234,247
-74.0087876227946,40.88080195757263,247
-74.00855027798923,40.880799916964584,247
-74.00831293320819,40.880797875868204,247
-74.00807558845149,40.88079583428352,247
-74.00783824371914,40.8807937922105,247
-74.00760089901118,40.88079174964915,247
-74.00736355432755,40.880789706599494,247
-74.0071262096683,40.88078766306151,247
-74.00688886503343,40.8807856190352,247
-74.00665152042293,40.880783574520564,247
-74.00641417583682,40.880781529517606,247
-74.00617683127511,40.880779484026334,247
-74.00593948673779,40.880777438046735,247
-74.00570214222488,40.88077539157882,247
-74.00546479773638,40.88077334462258,247
-74.0052274532723,40.88077129717802,247
-74.00499010883263,40.88076924924514,247
-74.00475276441739,40.88076720082394,247
-74.00451542002658,40.88076515191441,247
-74.00427807566021,40.88076310251657,247
-74.00404073131831,40.8807610526304,247
-74.00380338700084,40.88075900225591,247
-74.00356604270782,40.8807569513931,247
-74.00332869843928,40.88075490004197,247
-74.00309135419519,40.880752848202526,247
-74.0028540099756,40.88075079587476,247
-74.00261666578047,40.880748743058675,247
-74.00237932160981,40.880746689754254,247
-74.00214197746367,40.880744635961534,247
-74.00190463334201,40.88074258168049,247
-74.00166728924486,40.88074052691111,247
-74.00142994517223,40.88073847165342,247
-74.0011926011241,40.88073641590742,247
-74.0009552571005,40.880734359673106,247
-74.00071791310143,40.880732302950456,247
-74.00048056912686,40.88073024573951,247
-74.00024322517687,40.88072818804022,247
-74.00000588125141,40.88072612985261,247
-73.99976853738846,40.880724071162895,247
-73.9995311935511,40.880722011984524,247
-73.9992938497383,40.880719952317826,247
-73.99905650595007,40.880717892162814,247
-73.9988191621864,40.88071583151951,247
-73.99858181844732,40.880713770387885,247
-73.99834447473283,40.88071170876795,247
-73.99810713104293,40.88070964665972,247
-73.99786978737764,40.88070758406317,247
-73.99763244373693,40.88070552097832,247
-73.99739510012083,40.88070345740515,247
-73.99715775652936,40.880701393343685,247
-73.99692041296251,40.88069932879391,247
-73.99668306942029,40.88069726375582,247
-73.99644572590267,40.88069519822943,247
-73.99620838240972,40.880693132214745,247
-73.99597103894142,40.88069106571174,247
-73.99573369549778,40.88068899872044,247
-73.99549635207876,40.88068693124082,247
-73.99525900868443,40.88068486327289,247
-73.99502166531475,40.88068279481667,247
-73.99478432196975,40.88068072587214,247
-73.99454697864942,40.8806786564393,247
-73.99430963535379,40.880676586518156,247
-73.99407229208285,40.880674516108705,247
-73.9938349488366,40.88067244521095,247
-73.99359760561505,40.8806703738249,247
-73.99336026241821,40.88066830195053,247
-73.99312291924609,40.88066622958785,247
-73.99288557609869,40.88066415673688,247
-73.99264823297601,40.88066208339761,247
-73.99241088987807,40.88066000957002,247
-73.99217354680486,40.880657935254135,247
-73.99193620375641,40.88065586044994,247
-73.99169886073268,40.880653785157456,247
-73.99146151773374,40.88065170937666,247
-73.99122417475954,40.88064963310755,247
-73.9909868318101,40.88064755635014,247
-73.99074948888546,40.88064547910443,247
-73.99051214598556,40.88064340137042,247
-73.99027480311047,40.8806413231481,247
-73.99003746026017,40.88063924443749,247
-73.98980011743465,40.88063716523856,247
-73.98956277463395,40.88063508555134,247
-73.98932543185805,40.88063300537582,247
-73.98908808910697,40.88063092471199,247
-73.9888507463807,40.88062884355986,247
-73.98861340367925,40.88062676191943,247
-73.98837606100265,40.8806246797907,247
-73.98813871835087,40.880622597173655,247
-73.98790137572394,40.880620514068326,247
-73.98766403312186,40.88061843047469,247
-73.98742669054464,40.880616346392756,247
-73.98718934799224,40.8806142618225,247
-73.98695200546476,40.88061217676397,247
-73.98671466296211,40.88061009121713,247
-73.98647732048435,40.880608005181976,247
-73.98623997803149,40.88060591865853,247
