Station_ID,Station_name,DATE,Latitude,Longitude,temperature,pressure_3hr_change,temperature_3h_moving_avg,temperature_6h_moving_avg,temperature_12h_moving_avg
USL000ANMN6,HUDSON RIVER RESERVE,2021-07-21T15:00:00,42.0167,-73.9167,22.7,0.0,21.1,19.866666666666664,19.458333333333332
USL000BATN6,THE BATTERY,2021-07-21T15:00:00,40.701,-74.014,26.1,0.4,25.566666666666666,24.78333333333333,25.083333333333332
USL000KPTN6,KINGS POINT,2021-07-21T15:00:00,40.8,-73.77,24.6,0.6,24.3,23.400000000000002,23.875
USL000MTKN6,MONTAUK,2021-07-21T15:00:00,41.05,-71.97,21.8,1.0,22.733333333333334,22.46666666666667,22.21666666666667
